code,name,market,market_cap,sector_krx,sector_override,sector_display,sector_kis,sector_kis_lcls
064760,티씨케이,KOSDAQ,2660700000000,비금속,,비금속,IT H/W,반도체
319400,현대무벡스,KOSDAQ,2656300000000,기계·장비,,기계·장비,일반 목적용 기계 제조업,일반 목적용 기계 제조업
031980,피에스케이홀딩스,KOSDAQ,2652200000000,기계·장비,,기계·장비,IT H/W,반도체
080220,제주반도체,KOSDAQ,2638300000000,전기·전자,,전기·전자,IT H/W,반도체
131290,티에스이,KOSDAQ,2632600000000,의료·정밀기기,,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외"
004370,농심,KOSPI,2615500000000,음식료·담배,,음식료·담배,음식료품,음식료품
026960,동서,KOSPI,2567300000000,유통,,유통,제조업,음·식료품 및 담배 도매업
178320,서진시스템,KOSDAQ,2561900000000,전기·전자,,전기·전자,기타 전기장비 제조업,기타 전기장비 제조업
347850,디앤디파마텍,KOSDAQ,2553200000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
489790,한화비전,KOSPI,2544600000000,전기·전자,,전기·전자,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
003690,코리안리,KOSPI,2525300000000,보험,,보험,금융업,보험
067310,하나마이크론,KOSDAQ,2520000000000,전기·전자,,전기·전자,IT H/W,반도체
001720,신영증권,KOSPI,2515300000000,증권,,증권,금융업,증권
011170,롯데케미칼,KOSPI,2442500000000,화학,,화학,화학,화학
005850,에스엘,KOSPI,2433900000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
282330,BGF리테일,KOSPI,2426700000000,유통,,유통,종합 소매업,종합 소매업
383220,F&F,KOSPI,2398000000000,섬유·의류,,섬유·의류,봉제의복 제조업,봉제의복 제조업
004990,롯데지주,KOSPI,2367000000000,기타금융,,기타금융,음식료품,음식료품
181710,NHN,KOSPI,2358200000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
204320,HL만도,KOSPI,2336100000000,운송장비·부품,,운송장비·부품,자동차 부품 제조업,자동차 부품 제조업
237690,에스티팜,KOSDAQ,2300600000000,제약,,제약,의약품 제조업,의약품 제조업
103140,풍산,KOSPI,2298000000000,금속,,금속,철강및금속,철강및금속
000240,한국앤컴퍼니,KOSPI,2287900000000,기타금융,,기타금융,화학,화학
279570,케이뱅크,KOSPI,2275900000000,은행,,은행,은행 및 저축기관,은행 및 저축기관
032820,우리기술,KOSDAQ,2237600000000,전기·전자,,전기·전자,제조,일반전기전자
226950,올릭스,KOSDAQ,2215800000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
